gvkey,conm,cik,tic,datadate,fyear,rcp,at,lag1_at,big1_rstr,big05_rstr
001004,AAR CORP,0000001750,AIR,5/31/2011,2010,-2.2,1703.727,1501.042,FALSE,FALSE
001004,AAR CORP,0000001750,AIR,5/31/2012,2011,-3.7,2195.653,1703.727,FALSE,FALSE
001004,AAR CORP,0000001750,AIR,5/31/2019,2018,-0.9,1517.2,1524.7,FALSE,FALSE
001004,AAR CORP,0000001750,AIR,5/31/2020,2019,-43.7,2079,1517.2,TRUE,TRUE
001004,AAR CORP,0000001750,AIR,5/31/2021,2020,-14.5,1539.7,2079,FALSE,TRUE
001004,AAR CORP,0000001750,AIR,5/31/2022,2021,-3.1,1573.9,1539.7,FALSE,FALSE
001004,AAR CORP,0000001750,AIR,5/31/2023,2022,-1.9,1833.1,1573.9,FALSE,FALSE
001004,AAR CORP,0000001750,AIR,5/31/2024,2023,-0.5,2770,1833.1,FALSE,FALSE
001010,ACF INDUSTRIES INC,0000910627,4165A,12/31/2003,2003,361.5,4832.1,3702.5,TRUE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2001,2001,-267.2,2499.7,3970.5,TRUE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2002,2002,-434.3,1144.2,2499.7,TRUE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2003,2003,-41.8,1296.9,1144.2,TRUE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2004,2004,-12.3,1428.1,1296.9,FALSE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2005,2005,-14.7,1535,1428.1,TRUE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2006,2006,-19.6,1611.4,1535,TRUE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2007,2007,-10.4,1764.8,1611.4,FALSE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,10/31/2008,2008,-11.1,1921,1764.8,FALSE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,9/30/2009,2009,-34.2,1343.6,1921,TRUE,TRUE
001013,ADC TELECOMMUNICATIONS INC,0000061478,ADCT.1,9/30/2010,2010,-13.1,1474.5,1343.6,FALSE,TRUE
001034,ALPHARMA INC  -CL A,0000730469,ALO.2,12/31/2001,2001,-15.1,2390.008,1610.435,FALSE,TRUE
001034,ALPHARMA INC  -CL A,0000730469,ALO.2,12/31/2002,2002,-24.191,2296.924,2390.008,TRUE,TRUE
001034,ALPHARMA INC  -CL A,0000730469,ALO.2,12/31/2003,2003,-8.727,2329.268,2296.924,FALSE,FALSE
001034,ALPHARMA INC  -CL A,0000730469,ALO.2,12/31/2005,2005,-1.184,1623.383,2003.842,FALSE,FALSE
001034,ALPHARMA INC  -CL A,0000730469,ALO.2,12/31/2007,2007,3.528,1288.165,927.239,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2002,2002,-57,30267,32841,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2003,2003,-407,29330,30267,TRUE,TRUE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2004,2004,-11,28773,29330,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2005,2005,-174,29495,28773,FALSE,TRUE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2007,2007,-63,28571,29145,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2008,2008,-91,25175,28571,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2009,2009,-171,25438,25175,FALSE,TRUE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2011,2011,-118,23848,25088,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2012,2012,-2595,23510,23848,TRUE,TRUE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2013,2013,-2721,42278,23510,TRUE,TRUE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2016,2016,-25,51274,48415,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2018,2018,-480,60580,51396,FALSE,TRUE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2019,2019,-282,59995,60580,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2020,2020,-1426,62008,59995,TRUE,TRUE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2021,2021,-170,66467,62008,FALSE,FALSE
001045,AMERICAN AIRLINES GROUP INC,0000006201,AAL,12/31/2023,2023,-23,63058,64716,FALSE,FALSE
001050,CECO ENVIRONMENTAL CORP,0000003197,CECO,12/31/2017,2017,-3.395,438.549,498.634,FALSE,TRUE
001050,CECO ENVIRONMENTAL CORP,0000003197,CECO,12/31/2019,2019,-1.097,408.637,392.582,FALSE,FALSE
001050,CECO ENVIRONMENTAL CORP,0000003197,CECO,12/31/2020,2020,-3.853,419.314,408.637,FALSE,TRUE
001050,CECO ENVIRONMENTAL CORP,0000003197,CECO,12/31/2021,2021,-0.661,416.197,419.314,FALSE,FALSE
