gvkey,conm,cik,tic,datadate,fyear,rcp,at,lag1_at,big1_rstr,big05_rstr,Select manual verification,,,N/A = Missing 10k
1094,ACETO CORP,2034,ACETQ,6/30/2010,2010,-3.802,231.851,205.464,TRUE,TRUE,1,,,
1104,ACME UNITED CORP,2098,ACU,12/31/2002,2002,-0.486,17.614,20.173,TRUE,TRUE,1,,,
1117,BK TECHNOLOGIES CORP,2186,BKTI,12/31/2002,2002,-0.195,12.856,17.623,TRUE,TRUE,1,,,
1117,BK TECHNOLOGIES CORP,2186,BKTI,12/31/2017,2017,-0.4,42.801,42.544,FALSE,TRUE,1,,,
1117,BK TECHNOLOGIES CORP,2186,BKTI,12/31/2020,2020,-0.221,37.49,37.94,FALSE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2001,2001,-89.305,5647.242,5767.735,TRUE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2002,2002,-330.575,5619.181,5647.242,TRUE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2008,2008,-90,7675,11550,FALSE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2009,2009,-65,9078,7675,FALSE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2011,2011,-98,4954,4964,TRUE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2012,2012,-100,4000,4954,TRUE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2014,2014,-71,3767,4337,TRUE,TRUE,1,,,
1161,ADVANCED MICRO DEVICES,2488,AMD,12/31/2015,2015,-129,3109,3767,TRUE,TRUE,1,,,
1164,MCI INC,723527,MCIP,12/31/2002,2002,-746,26536,91901,FALSE,TRUE,1,,,
1164,MCI INC,723527,MCIP,12/31/2003,2003,22049,27367,26536,TRUE,TRUE,1,,,
1166,ASM INTERNATIONAL NV,351483,ASMIY,12/31/2003,2003,-8.16,846.898,685.552,TRUE,TRUE,1,,,
1166,ASM INTERNATIONAL NV,351483,ASMIY,12/31/2008,2008,-9.838,1068.698,1227.138,FALSE,TRUE,1,,,
1166,ASM INTERNATIONAL NV,351483,ASMIY,12/31/2009,2009,-51.147,1220.656,1068.698,TRUE,TRUE,1,,,
1166,ASM INTERNATIONAL NV,351483,ASMIY,12/31/2010,2010,-14.862,1611.012,1220.656,TRUE,TRUE,1,,,
1173,AEROSONIC CORP,109471,AIM.1,1/31/2008,2007,-1.519,21.38,17.735,TRUE,TRUE,1,,,
1173,AEROSONIC CORP,109471,AIM.1,1/31/2009,2008,-0.208,17.761,21.38,FALSE,TRUE,1,,,
1173,AEROSONIC CORP,109471,AIM.1,1/31/2010,2009,-0.262,21.476,17.761,TRUE,TRUE,1,,,
1177,AETNA INC,1122304,AET,12/31/2016,2016,-404,69146,53424.1,FALSE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2001,2001,-109.2,8084.1,8270.5,TRUE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2003,2003,-152.5,9431.9,8495,TRUE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2006,2006,-72.1,11180.7,10408.8,FALSE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2009,2009,-308.1,13029.1,12571.3,TRUE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2012,2012,-327.4,16941.8,14290.7,TRUE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2013,2013,-231.6,17850.1,16941.8,TRUE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2015,2015,-236.4,17438.1,17779.1,TRUE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2016,2016,-92.5,18055.3,17438.1,FALSE,TRUE,1,,,
1209,AIR PRODUCTS & CHEMICALS INC,2969,APD,9/30/2017,2017,-181.6,18467.2,18055.3,TRUE,TRUE,1,,,
1228,ALANCO TECHNOLOGIES INC,98618,ALAN,6/30/2001,2001,-0.225,9.781,11.434,TRUE,TRUE,1,,,
1230,ALASKA AIR GROUP INC,766421,ALK,12/31/2004,2004,-53.4,3335,3259.2,TRUE,TRUE,1,,,
1230,ALASKA AIR GROUP INC,766421,ALK,12/31/2005,2005,-20.4,3792,3335,FALSE,TRUE,1,,,
1230,ALASKA AIR GROUP INC,766421,ALK,12/31/2006,2006,-24.8,4077.1,3792,FALSE,TRUE,1,,,
1230,ALASKA AIR GROUP INC,766421,ALK,12/31/2011,2011,-38.9,5195,5016.6,FALSE,TRUE,1,,,
1230,ALASKA AIR GROUP INC,766421,ALK,12/31/2020,2020,-220,14046,12993,TRUE,TRUE,1,,,
1239,ALBERTO-CULVER CO,1368457,ACV.1,9/30/2007,2007,-40.539,1487.56,2582.597,TRUE,TRUE,1,,,
1239,ALBERTO-CULVER CO,1368457,ACV.1,9/30/2008,2008,-12.993,1464.19,1487.56,FALSE,TRUE,1,,,
1240,ALBERTSON'S INC,3333,ABS.1,1/31/2002,2001,-468,15967,16078,TRUE,TRUE,1,,,
1243,ALCAN INC,4285,AL.1,12/31/2001,2001,-288,17479,18407,TRUE,TRUE,1,,,
1243,ALCAN INC,4285,AL.1,12/31/2005,2005,-694,26638,33341,TRUE,TRUE,1,,,
1243,ALCAN INC,4285,AL.1,12/31/2006,2006,-179,28939,26638,FALSE,TRUE,1,,,
1246,IKON OFFICE SOLUTIONS,3370,IKN,9/30/2000,2000,-51.249,6362.585,5801.313,FALSE,TRUE,1,,,
1246,IKON OFFICE SOLUTIONS,3370,IKN,9/30/2001,2001,-39.8,6290.992,6362.585,FALSE,TRUE,1,,,
1263,ALGOMA STEEL GROUP INC,1860805,ASTL,12/31/2001,2001,-104,1228,1445,TRUE,TRUE,1,,,
1266,ALICO INC,3545,ALCO,9/30/2013,2013,-1.816,198.84,185.083,FALSE,TRUE,1,,,
1279,ALLEGHENY ENERGY INC,3673,AYE,12/31/2002,2002,-136.508,10600.279,11167.552,TRUE,TRUE,1,,,
1281,ALLEN TELECOM INC,3721,ALN.2,12/31/2002,2002,-2.94,530.038,511.956,FALSE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2001,2001,-897,24226,25175,TRUE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2002,2002,-377,27559,24226,TRUE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2007,2007,-191,33805,30941,FALSE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2008,2008,-424,35490,33805,TRUE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2011,2011,-354,39808,37834,FALSE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2016,2016,-260,54146,49316,FALSE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2017,2017,-491,59387,54146,FALSE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2018,2018,-841,57773,59387,TRUE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2019,2019,-433,58679,57773,FALSE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2020,2020,-518,64586,58679,FALSE,TRUE,1,,,
1300,HONEYWELL INTERNATIONAL INC,773840,HON,12/31/2022,2022,-364,62275,64470,FALSE,TRUE,1,,,
